Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
2005-02-03,1778.9,1802.35,1778.9,1799.8,373962131,4678.79
2005-02-04,1810.9,1817.1,1785.75,1798.2,363795444,4694.07
2005-02-07,1806.6,1811.7,1783.05,1786.7,398507996,4302.53
2005-02-08,1788.1,1797.4,1781.0,1788.85,378618971,4310.43
2005-02-09,1798.05,1810.6,1798.05,1805.15,396052024,4537.61
2005-02-10,1808.25,1813.2,1793.9,1803.0,496181267,4438.57
2005-02-11,1805.35,1821.15,1805.35,1817.5,365997946,4668.46
2005-02-14,1825.5,1837.45,1823.6,1828.65,319950233,4542.9
2005-02-15,1830.35,1830.35,1811.55,1819.05,241628601,3962.22
2005-02-16,1822.35,1832.35,1797.55,1803.45,306997789,4515.34
2005-02-17,1800.3,1800.3,1784.75,1797.25,284762925,3879.22
2005-02-18,1801.0,1811.0,1789.25,1794.1,297971972,3796.33
2005-02-21,1800.25,1801.0,1779.1,1781.5,241443001,3222.23
2005-02-22,1781.15,1795.15,1774.5,1793.2,243898204,3532.7
2005-02-23,1793.55,1802.15,1789.4,1794.95,292212902,4045.27
2005-02-24,1802.35,1808.0,1792.6,1794.55,262928459,4748.1
2005-02-25,1809.95,1812.55,1790.5,1796.3,273764110,4479.62
2005-02-28,1801.95,1830.9,1791.4,1827.4,345287778,5933.51
2005-03-01,1825.05,1825.05,1805.15,1811.9,301021467,4888.3
2005-03-02,1817.65,1826.95,1815.8,1825.3,330595880,4820.14
2005-03-03,1825.9,1856.25,1825.9,1854.3,361228597,5277.52
2005-03-04,1863.65,1874.65,1858.75,1871.95,385128351,5908.48
2005-03-07,1875.75,1891.55,1875.75,1883.6,379656641,5979.85
2005-03-08,1888.2,1896.3,1881.65,1893.2,331464143,5378.41
2005-03-09,1894.6,1905.15,1864.95,1881.8,331810355,5138.01
2005-03-10,1882.5,1891.7,1871.85,1889.0,273479524,4616.96
2005-03-11,1896.5,1904.55,1876.95,1880.85,343730870,4951.66
2005-03-14,1876.9,1889.25,1869.05,1871.8,321116759,4232.74
2005-03-15,1874.5,1877.75,1856.9,1860.6,322826679,4147.64
2005-03-16,1864.3,1876.05,1856.65,1859.65,339145365,4251.74
2005-03-17,1854.5,1856.15,1830.55,1835.95,295683048,3922.19
2005-03-18,1837.05,1844.3,1811.6,1838.35,340891398,4628.0
2005-03-21,1845.0,1850.3,1824.5,1829.3,261386452,3604.12
2005-03-22,1829.45,1829.45,1789.75,1793.3,232705475,3747.09
2005-03-23,1791.7,1799.65,1753.15,1758.5,284376649,5024.38
2005-03-24,1766.95,1773.25,1741.4,1748.6,265864540,4507.67
2005-03-28,1760.15,1774.95,1758.25,1762.6,194559695,3315.83
2005-03-29,1764.2,1764.2,1715.15,1724.65,253201790,3982.46
2005-03-30,1728.7,1741.8,1715.85,1737.45,237006370,4028.57
2005-03-31,1745.1,1777.1,1745.1,1772.85,280856562,5227.23
2005-04-01,1786.2,1808.2,1766.45,1805.3,240593153,4037.26
2005-04-04,1809.95,1815.15,1799.2,1804.05,259721837,4377.45
2005-04-05,1808.35,1811.8,1786.85,1793.05,238249906,3952.88
2005-04-06,1798.3,1809.5,1795.0,1807.0,256575450,3857.19
2005-04-07,1819.5,1819.5,1795.05,1798.4,227122023,3723.44
2005-04-08,1802.2,1804.4,1776.55,1783.3,198408392,3477.9
2005-04-11,1782.9,1782.9,1758.3,1764.35,174625085,2706.7
2005-04-12,1765.0,1780.0,1765.0,1778.2,169676680,2859.04
2005-04-13,1781.75,1789.75,1774.15,1779.35,206530926,3425.18
2005-04-15,1771.7,1771.7,1724.65,1726.75,192247218,3650.73
2005-04-18,1698.25,1718.15,1691.15,1706.45,184589032,3353.64
2005-04-19,1714.5,1733.55,1689.25,1693.55,203950730,3734.41
2005-04-20,1696.1,1709.45,1685.45,1707.0,198612386,4301.47
2005-04-21,1696.65,1728.3,1696.65,1727.15,198531260,3981.45
2005-04-22,1738.55,1744.7,1732.25,1742.15,188205918,3970.82
